"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","23,995.00","24,651.00","23,951.05","24,032.60","24,598.00","24,612.85","24,390.75","32,048.00","21,650.00",34916,"851,627,506.95",11097
"31-Mar-2022","EQ","24,309.00","24,329.55","23,905.75","24,089.15","23,930.10","24,032.60","24,054.75","32,048.00","21,650.00",22006,"529,348,811.75",8516
"30-Mar-2022","EQ","23,840.00","24,150.00","23,709.50","23,645.55","24,065.00","24,089.15","24,040.47","32,048.00","21,650.00",34361,"826,054,540.45",11484
"29-Mar-2022","EQ","23,230.00","23,740.00","23,230.00","23,197.55","23,639.00","23,645.55","23,590.97","32,048.00","21,650.00",31238,"736,934,815.70",9602
"28-Mar-2022","EQ","23,411.55","23,449.70","22,905.00","23,259.35","23,182.95","23,197.55","23,105.76","32,048.00","21,650.00",28362,"655,325,692.20",12540
"25-Mar-2022","EQ","23,495.95","23,495.95","23,151.00","23,273.75","23,263.00","23,259.35","23,275.84","32,048.00","21,650.00",34349,"799,501,803.60",13871
"24-Mar-2022","EQ","23,413.20","23,630.00","23,200.20","23,413.20","23,225.20","23,273.75","23,369.62","32,048.00","21,650.00",29951,"699,943,484.65",12073
"23-Mar-2022","EQ","23,460.00","23,650.00","23,275.00","23,373.30","23,417.00","23,413.20","23,474.74","32,048.00","21,650.00",39577,"929,059,705.75",11946
"22-Mar-2022","EQ","23,345.80","23,669.50","23,032.00","23,390.30","23,380.00","23,373.30","23,308.06","32,048.00","21,650.00",39121,"911,834,768.40",13073
"21-Mar-2022","EQ","24,188.05","24,188.05","23,333.00","24,090.20","23,360.00","23,390.30","23,627.97","32,048.00","21,650.00",50943,"1,203,679,845.95",15979
"17-Mar-2022","EQ","23,801.00","24,385.00","23,701.40","23,595.45","24,130.00","24,090.20","24,140.02","32,048.00","21,650.00",65189,"1,573,663,491.30",20285
"16-Mar-2022","EQ","22,950.00","23,714.85","22,762.90","22,800.50","23,491.00","23,595.45","23,316.61","32,048.00","21,650.00",58201,"1,357,049,790.70",18130
"15-Mar-2022","EQ","22,322.05","22,850.00","22,301.05","22,361.45","22,769.00","22,800.50","22,596.96","32,048.00","21,650.00",83329,"1,882,981,846.75",26738
"14-Mar-2022","EQ","22,394.60","22,424.95","21,960.00","22,394.60","22,388.95","22,361.45","22,203.80","32,048.00","21,650.00",31448,"698,264,989.40",10707
"11-Mar-2022","EQ","22,150.00","22,434.40","21,919.30","22,197.60","22,400.00","22,394.60","22,262.40","32,048.00","21,650.00",45123,"1,004,546,141.10",13211
